Escolaridade,Entrada,Cidade,Salário,Idade,Sexo,Projeto,Experiência,Saiu,Feedbacks
Doutorado,2016,Natal,3,28,Feminino,Não,3,0,0
Doutorado,2014,Natal,3,36,Feminino,Não,3,0,1
Doutorado,2013,Natal,3,29.9742431640625,Masculino,Não,0,0,0
Doutorado,2016,Natal,3,30.920166015625,Masculino,Não,2,1,0
Doutorado,2018,Natal,3,34,Masculino,Sim,5,1,0
Doutorado,2012,João Pessoa,2,26,Feminino,Não,4,1,0
Doutorado,2016,Natal,3,26,Masculino,Não,4,0,2
---,2013,Recife,3,27,Feminino,Não,5,0,0
Doutorado,2013,João Pessoa,3,28,Masculino,Não,5,0,1
Doutorado,2017,Recife,2,28,Masculino,Não,1,0,1
Doutorado,2016,João Pessoa,3,27,Feminino,Não,5,1,1
---,2014,João Pessoa,2,29,Masculino,Não,2,0,1
Doutorado,2017,Natal,3,24,Masculino,Não,2,0,0
Doutorado,2013,Natal,3,35,Masculino,Não,2,1,0
Doutorado,2017,Recife,2,30,Feminino,Não,2,0,0
Doutorado,2017,Recife,3,28,Masculino,Não,2,0,0
Doutorado,2012,Natal,3,27,Masculino,---,5,1,0
Doutorado,2016,Recife,3,24,Masculino,---,2,1,1
Doutorado,2017,Natal,1,24,Masculino,Não,2,0,0
Doutorado,2016,Natal,3,34,Masculino,Não,3,0,1
Doutorado,2014,Natal,3,30,Masculino,---,4,1,0
Doutorado,2016,João Pessoa,3,28,Masculino,Não,1,0,1
Doutorado,2017,Natal,1,26,Masculino,---,4,0,0
Doutorado,2015,Natal,3,31.3255615234375,Feminino,Não,4,0,0
Doutorado,2015,João Pessoa,2,33,Feminino,Sim,3,1,1
---,2012,João Pessoa,3,39,Masculino,Não,0,0,0
Doutorado,2015,João Pessoa,1,27,Feminino,Não,5,0,0
Doutorado,2012,João Pessoa,3,25,Masculino,Não,3,1,0
Doutorado,2013,Natal,3,35,Feminino,---,4,0,0
Doutorado,2012,Recife,3,34,Feminino,Não,2,0,0
Doutorado,2018,João Pessoa,3,24,Masculino,Sim,2,1,3
Doutorado,2014,Natal,3,24,Masculino,Não,2,1,1
Doutorado,2013,Natal,3,26,Feminino,Não,4,1,1
Doutorado,2013,Recife,3,26,Masculino,Não,4,1,1
Doutorado,2015,João Pessoa,3,27,Masculino,Não,5,0,0
Doutorado,2014,João Pessoa,2,30.0142822265625,Feminino,Não,3,1,2
Doutorado,2018,Natal,3,26,Masculino,Sim,4,1,1
Doutorado,2014,Recife,3,25,Masculino,Não,3,0,3
Doutorado,2012,Natal,3,41,Feminino,Não,5,0,1
Doutorado,2014,João Pessoa,3,27,Masculino,Sim,5,0,0
Doutorado,2016,Natal,3,31.09033203125,Feminino,Não,3,1,0
Doutorado,2014,Natal,3,25,Masculino,Sim,3,0,0
Doutorado,2014,Natal,3,35,Feminino,Não,2,1,0
Doutorado,2015,Natal,3,40,Masculino,Não,4,0,0
Doutorado,2013,Recife,3,25,Masculino,Não,3,1,2
Doutorado,2018,Natal,3,28,Masculino,Não,2,1,0
Doutorado,2015,João Pessoa,3,29,Masculino,Não,0,0,1
Doutorado,2016,Natal,3,24,Masculino,---,2,0,1
Doutorado,2016,João Pessoa,2,36,Masculino,Não,0,1,0
Doutorado,2012,Natal,3,28,Masculino,Não,2,0,0
---,2018,Natal,1,36,Masculino,Sim,1,0,0
---,2016,Natal,3,27,Feminino,Não,5,0,2
---,2018,Natal,3,24,Masculino,Sim,2,1,2
Doutorado,2013,Recife,3,26,Masculino,Não,4,1,0
Doutorado,2014,Natal,3,27,Masculino,Não,5,0,0
---,2018,Recife,3,29,Masculino,Não,2,1,0
Doutorado,2015,Recife,3,32,Feminino,Não,2,0,0
Doutorado,2017,Recife,3,27,Masculino,Não,5,1,0
Doutorado,2017,Recife,3,26,Masculino,Não,4,0,0
Doutorado,2016,João Pessoa,3,33,Masculino,Não,2,0,3
Doutorado,2016,Natal,3,39,Feminino,Não,5,0,2
